method,year_month,q,q_label,estimate,lower_95,upper_95,accepted_event_species,diversity,method_label,method_class,result_type,reference_estimate,reference_lower_95,reference_upper_95,absolute_difference,percentage_difference
Primary_M2,2023-01,0,q = 0: Richness,48,41,53,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,40,35,47,8,19.999999999999996
Primary_M2,2023-01,1,q = 1: Exponential Shannon,7.842529771929563,7.231017043716789,8.449816839330245,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,6.391358954513024,5.698989665788652,7.089788255871321,1.4511708174165392,22.705199750858117
Primary_M2,2023-01,2,q = 2: Inverse Simpson,3.7254616715229467,3.4861718375444295,3.956366755433102,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,3.378237352675357,3.0761041702784224,3.67752918704849,0.34722431884758986,10.278268889917097
Primary_M2,2023-02,0,q = 0: Richness,72,66,78,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,60,53,67,12,19.999999999999996
Primary_M2,2023-02,1,q = 1: Exponential Shannon,7.7955601120225175,7.4049821865771435,8.221222247675826,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,6.133644619722686,5.556564041137566,6.708239055138694,1.6619154922998316,27.095073081931666
Primary_M2,2023-02,2,q = 2: Inverse Simpson,3.634407651061018,3.508426496578207,3.777148770021877,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,3.2060250172482414,2.986637739638037,3.4468604429140886,0.4283826338127765,13.36179947156062
Primary_M2,2023-03,0,q = 0: Richness,82,75,90,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,69,61,77,13,18.840579710144922
Primary_M2,2023-03,1,q = 1: Exponential Shannon,9.47605566035725,9.087228367777037,9.837004152294783,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,7.783458113816978,7.141753483026523,8.4031548883706,1.6925975465402727,21.74608665954816
Primary_M2,2023-03,2,q = 2: Inverse Simpson,4.971131224247724,4.833382678225872,5.105393457179322,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,4.440713222313189,4.169815626952865,4.691355722404761,0.5304180019345353,11.944432693139273
Primary_M2,2023-04,0,q = 0: Richness,101,94,109,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,82,74,92,19,23.17073170731707
Primary_M2,2023-04,1,q = 1: Exponential Shannon,14.95308750228337,14.34198655509135,15.508237331318682,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,11.893700018688644,10.896013423415283,12.825653040748108,3.059387483594726,25.72275640706838
Primary_M2,2023-04,2,q = 2: Inverse Simpson,7.7873847866245605,7.502285013173299,8.048833060158826,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,6.9242353692752605,6.358121845965052,7.455292373796893,0.8631494173493,12.465627918706112
Primary_M2,2023-05,0,q = 0: Richness,97,89,105,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,80,70,89,17,21.249999999999993
Primary_M2,2023-05,1,q = 1: Exponential Shannon,10.821824051521741,10.386875430149015,11.280824069036287,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,10.109917411936156,9.346019697381646,10.88651280112465,0.7119066395855853,7.041666223159071
Primary_M2,2023-05,2,q = 2: Inverse Simpson,5.4944022831380845,5.296669361117986,5.700368048307888,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,5.9096174227906495,5.575000624972628,6.2165527517711645,-0.41521513965256496,-7.026091706905979
Primary_M2,2023-06,0,q = 0: Richness,96,88,104,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,79,70,88,17,21.518987341772156
Primary_M2,2023-06,1,q = 1: Exponential Shannon,10.514462284285537,10.11871269176151,10.94438622022042,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,7.249416257343754,6.541442909004715,8.132310727466265,3.265046026941783,45.03874396278802
Primary_M2,2023-06,2,q = 2: Inverse Simpson,4.993611193978995,4.852045447759774,5.144695569419503,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,3.776591238540175,3.5025735687939346,4.188110750478752,1.2170199554388201,32.22535558042692
Primary_M2,2023-07,0,q = 0: Richness,73,67,79,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,61,54,70,12,19.672131147540984
Primary_M2,2023-07,1,q = 1: Exponential Shannon,17.755466218477387,16.595817269456035,19.112513766691947,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,11.095320592102578,9.737985992804411,12.939832126197096,6.66014562637481,60.026617267060914
Primary_M2,2023-07,2,q = 2: Inverse Simpson,8.278730935707028,7.675265245103131,8.963966406947135,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,5.510201738584267,4.805326765966733,6.800983932955736,2.768529197122761,50.24369938647795
Primary_M2,2023-08,0,q = 0: Richness,25,21,29,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,20,16,25,5,25
Primary_M2,2023-08,1,q = 1: Exponential Shannon,14.186076136370524,11.984451295579095,16.559465811954766,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,10.619145384701902,8.94719195235206,12.273443615964595,3.5669307516686217,33.58962159805434
Primary_M2,2023-08,2,q = 2: Inverse Simpson,9.370297334078138,7.830182653586766,11.193824325404371,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,7.35486751442681,6.210137482055555,8.393395826660338,2.0154298196513283,27.40266654291186
Primary_M2,2023-10,0,q = 0: Richness,40,35,45,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,35,30,40,5,14.28571428571428
Primary_M2,2023-10,1,q = 1: Exponential Shannon,14.278512860152478,12.892396067860297,15.70466732327339,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,11.285193646725972,9.656628666269594,12.767977009954244,2.9933192134265063,26.52430527228853
Primary_M2,2023-10,2,q = 2: Inverse Simpson,7.732213827266106,7.040137473838115,8.54443186310954,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,6.2230845439930595,5.393570135790187,7.0189798889442585,1.5091292832730465,24.2505026663949
Primary_M2,2023-11,0,q = 0: Richness,42,37,47,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,36,30,41,6,16.666666666666675
Primary_M2,2023-11,1,q = 1: Exponential Shannon,20.18974733161297,17.90146127500065,22.470462530235686,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,14.484418761965905,12.502070753981988,16.862418724895214,5.705328569647065,39.38942019978376
Primary_M2,2023-11,2,q = 2: Inverse Simpson,11.984148379238874,10.456551306538147,13.824095778485908,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,8.618874485612,7.4005453427892185,10.10461945493617,3.365273893626874,39.04539855226719
Primary_M2,2023-12,0,q = 0: Richness,30,25,35,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,26,22,31,4,15.384615384615374
Primary_M2,2023-12,1,q = 1: Exponential Shannon,13.192593799632354,11.070987860381347,15.520828954542601,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,9.697121696143242,7.882320830542966,11.761324019136186,3.495472103489112,36.04649104155657
Primary_M2,2023-12,2,q = 2: Inverse Simpson,6.158948148578,5.050627761671867,7.487659516446364,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,4.591992206256946,3.811218546454862,5.718723016357551,1.5669559423210542,34.12366293187421
Primary_M2,2024-01,0,q = 0: Richness,30,25,34.6583333333333,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,26,22,30,4,15.384615384615374
Primary_M2,2024-01,1,q = 1: Exponential Shannon,13.212383682835217,11.512132969164849,14.960490016193837,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,10.417251165997529,9.13255783802883,11.843549774861081,2.795132516837688,26.831766579279105
Primary_M2,2024-01,2,q = 2: Inverse Simpson,7.976807181269839,6.86200621093516,9.17531777040756,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,6.465290449586066,5.6899736851790506,7.4126930385093655,1.5115167316837734,23.37894551636961
Primary_M2,2024-02,0,q = 0: Richness,56,50,63,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,47,40,54,9,19.14893617021276
Primary_M2,2024-02,1,q = 1: Exponential Shannon,10.693216918727463,9.929564185266715,11.681746503243744,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,8.58332950123917,7.654537845934463,9.831797539377344,2.1098874174882933,24.581223605405
Primary_M2,2024-02,2,q = 2: Inverse Simpson,4.417337382179543,4.145683659069754,4.760463131962543,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,4.087542633437041,3.6927997604232186,4.734422379805179,0.32979474874250236,8.068288904064392
Primary_M2,2024-03,0,q = 0: Richness,80,73,87,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,66,58,74,14,21.212121212121215
Primary_M2,2024-03,1,q = 1: Exponential Shannon,12.391797346201983,11.849136727282982,12.920775404206495,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,9.97935271460506,9.218538511638544,10.878451053335775,2.412444631596923,24.174359806585887
Primary_M2,2024-03,2,q = 2: Inverse Simpson,7.140927121740161,6.921036957711328,7.362633551885841,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,6.122666221593212,5.679676419189503,6.712458876980535,1.0182609001469487,16.63100458678901
Primary_M2,2024-04,0,q = 0: Richness,63,56,69,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,56,49,63,7,12.5
Primary_M2,2024-04,1,q = 1: Exponential Shannon,8.786733980767576,8.329833468576817,9.224039593269147,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,7.600025081616561,6.9434506817279935,8.371633002109517,1.1867088991510144,15.614539247002002
Primary_M2,2024-04,2,q = 2: Inverse Simpson,4.879595034014596,4.702214785580608,5.042734786165416,,,Primary M2: pooled,Probability sensitivity,Monte Carlo,4.631815206277359,4.350144228510964,4.975176481450267,0.2477798277372365,5.349518853891833
