predicted_species,n_candidates,mean_birdnet_score,mean_p_primary,median_p_primary,expected_correct_primary,mean_p_primary_m2,expected_correct_primary_m2,mean_p_audio_only,expected_correct_audio_only,species_validation_n,species_confirmation_rate,expected_difference_m2_minus_m3
Red-legged Partridge,11,0.62813822,0.2854834448576888,0.1075778099685289,3.1403178934345766,0.48325566246001206,5.315812287060132,0.310444744510709,3.4148921896177993,4,0.5,2.1754943936255557
Yellow-billed Chough,7,0.5723596314285714,0.05172582010872062,0.0326972399550593,0.36208074076104435,0.35259145680099335,2.4681401976069535,0.4245534044873793,2.9718738314116555,4,0,2.1060594568459092
Hazel Grouse,6,0.5792427716666666,0.07078029223900349,0.049645980353495454,0.424681753434021,0.39690329695361093,2.381419781721666,0.45664297391229325,2.7398578434737595,4,0,1.9567380282876448
Iberian Green Woodpecker,6,0.607197745,0.06711614691470877,0.06134187545967379,0.40269688148825267,0.3838040998571069,2.3028245991426415,0.4768499226194934,2.8610995357169604,4,0,1.9001277176543887
Eurasian Siskin,33,0.6022749509090909,0.4990462229653443,0.4734996530168451,16.46852535785636,0.4425497562434308,14.604141956033216,0.5029300042572842,16.59669014049038,6,0.5,-1.8643834018231455
Green-winged Teal,7,0.5612557114285714,0.05500210931886027,0.054390980715867177,0.3850147652320219,0.31259468429866766,2.1881627900906735,0.08729845072831585,0.6110891550982109,4,0,1.8031480248586516
Spotted Crake,9,0.6106519133333334,0.24117671092858461,0.22021435661591535,2.1705903983572616,0.4317090507153945,3.8853814564385503,0.26839886239800365,2.4155897615820328,4,0.25,1.7147910580812886
Sedge Warbler,6,0.5153495583333333,0.04951689673042899,0.05115698116884029,0.29710138038257394,0.3320032299492978,1.992019379695787,0.07766653263280901,0.465999195796854,4,0,1.694917999313213
Eurasian Hoopoe,8,0.61189263625,0.22346547213298182,0.14633423788195926,1.7877237770638545,0.4345300050584852,3.4762400404678817,0.2512751498682701,2.010201198946161,4,0.25,1.6885162634040272
Red-breasted Flycatcher,8,0.60448869125,0.20198156405689538,0.20609932251315125,1.615852512455163,0.40682112026547707,3.2545689621238165,0.2277935403598705,1.822348322878964,4,0.25,1.6387164496686535
Eurasian Kestrel,25,0.8124229508,0.6801006511811453,0.9629729260761228,17.00251627952863,0.7431877136994883,18.57969284248721,0.7244644924473178,18.111612311182945,1,1,1.5771765629585772
Spectacled Warbler,11,0.5215413963636364,0.40421269409338884,0.3784672025566314,4.446339635027277,0.276001022800269,3.036011250802959,0.39369774801074486,4.330675228118193,4,0.5,-1.410328384224318
Common Waxbill,5,0.50977205,0.0476647346558774,0.048137508311601615,0.238323673279387,0.324796876045194,1.6239843802259701,0.35154819042460866,1.7577409521230434,4,0,1.3856607069465832
Corsican Nuthatch,4,0.56034228,0.05740136470700373,0.04751617470029591,0.22960545882801492,0.3827626042094494,1.5310504168377976,0.42909851590770876,1.716394063630835,4,0,1.3014449580097827
European Golden-Plover,14,0.5771332842857143,0.3185711312659513,0.2731958295659511,4.459995837723318,0.4079767556109637,5.711674578553492,0.3384516095955226,4.738322534337317,4,0.25,1.2516787408301733
Whinchat,8,0.6342810812499999,0.3361675844718906,0.21843474577328897,2.689340675775125,0.49174029680515713,3.933922374441257,0.3580483080237997,2.8643864641903978,4,0.5,1.2445816986661322
Black Grouse,3,0.64599558,0.0957513925102648,0.0755634265770867,0.28725417753079435,0.49524336834731536,1.485730105041946,0.14982281420357368,0.4494684426107211,3,0,1.1984759275111516
Eurasian Jay,428,0.6892883478271028,0.567081360184526,0.5532595081598699,242.71082215897715,0.564314863235637,241.52676146485263,0.5891889725234055,252.17288024001755,2,1,-1.1840606941245255
Eurasian Nutcracker,4,0.51318279,0.04923677866983307,0.040387372599071866,0.1969471146793323,0.3304995507966874,1.3219982031867497,0.07720646333661503,0.3088258533464601,4,0,1.1250510885074174
Rock Pigeon,22,0.5624630431818182,0.33978028217828427,0.27119261808613543,7.475166207922254,0.39083332164497353,8.598333076189418,0.34845243068627463,7.665953475098041,6,0.3333333333333333,1.1231668682671634
Pin-tailed Whydah,4,0.513136155,0.04824933575492875,0.04428368428099892,0.192997343019715,0.3290108275739808,1.3160433102959233,0.35723707161553975,1.428948286462159,4,0,1.1230459672762083
Stock Dove,14,0.6108418657142857,0.5365662993188688,0.47740210426682456,7.511928190464163,0.4571615545939305,6.400261764315027,0.5343603010617012,7.481044214863816,4,0.75,-1.111666426149136
Western Yellow Wagtail,7,0.5406039957142857,0.21092760754891304,0.15087638724902644,1.4764932528423913,0.36596712000792825,2.561769840055498,0.22966408398129767,1.6076485878690836,4,0.25,1.0852765872131067
Northern Gannet,4,0.488220195,0.04449435688132176,0.036240291143968775,0.17797742752528703,0.3034071918918197,1.2136287675672788,0.06964677782471541,0.27858711129886166,4,0,1.0356513400419918
White Wagtail,3,0.58298395,0.07408834016326804,0.06352406357771276,0.22226502048980412,0.4119831322101895,1.2359493966305686,0.116215582638368,0.34864674791510397,3,0,1.0136843761407643
White-winged Tern,2,0.74221888,0.1530591735291501,0.1530591735291501,0.3061183470583002,0.6247946765159738,1.2495893530319475,0.2387901069619776,0.4775802139239552,2,0,0.9434710059736473
Black-bellied Plover,3,0.59383008,0.06739702821677716,0.07496418677473694,0.2021910846503315,0.3766051443041866,1.1298154329125598,0.10686266597432766,0.320587997922983,3,0,0.9276243482622283
Rock Bunting,16,0.60098372,0.37203614526091827,0.28178795770858067,5.952578324174692,0.4283858207428409,6.854173131885454,0.3859553847198393,6.175286155517429,4,0.5,0.9015948077107616
