scenario,scenario_label,year_month,q,q_label,mean,sd,median,lower_95,upper_95
Primary_M3,Primary M3: species-aware,2024-03,0,q = 0: Richness,65.896,4.117540301944613,66,58,74
Primary_M3,Primary M3: species-aware,2024-03,1,q = 1: Exponential Shannon,9.999039487353622,0.4339811543820072,9.97935271460506,9.218538511638544,10.878451053335775
Primary_M3,Primary M3: species-aware,2024-03,2,q = 2: Inverse Simpson,6.138489213933952,0.26150223371255904,6.122666221593212,5.679676419189503,6.712458876980535
Primary_M3,Primary M3: species-aware,2024-04,0,q = 0: Richness,56.244,3.616841929853383,56,49,63
Primary_M3,Primary M3: species-aware,2024-04,1,q = 1: Exponential Shannon,7.612881345279233,0.3684150614913943,7.600025081616561,6.9434506817279935,8.371633002109517
Primary_M3,Primary M3: species-aware,2024-04,2,q = 2: Inverse Simpson,4.6376841072412605,0.15728507342188572,4.631815206277359,4.350144228510964,4.975176481450267
Primary_M2,Primary M2: pooled,2021-12,0,q = 0: Richness,28.251,2.2060974289151116,28,24,32
Primary_M2,Primary M2: pooled,2021-12,1,q = 1: Exponential Shannon,8.863853958604759,0.6856857672521235,8.84512170263201,7.531582200487383,10.181666772316131
Primary_M2,Primary M2: pooled,2021-12,2,q = 2: Inverse Simpson,4.525727790976485,0.3021118994159593,4.511001561899946,3.973234816627307,5.13966091754029
Primary_M2,Primary M2: pooled,2022-01,0,q = 0: Richness,47.956,3.0743317185228265,48,42,54
Primary_M2,Primary M2: pooled,2022-01,1,q = 1: Exponential Shannon,9.367190313072204,0.43970085023869054,9.344826706145158,8.563721902916196,10.284929541933339
Primary_M2,Primary M2: pooled,2022-01,2,q = 2: Inverse Simpson,4.288733737297573,0.17106744245213515,4.281522043684257,3.957110316501681,4.65159759672283
Primary_M2,Primary M2: pooled,2022-02,0,q = 0: Richness,50.618,2.7154096282972575,51,45,56
Primary_M2,Primary M2: pooled,2022-02,1,q = 1: Exponential Shannon,14.219825397148758,0.6949353611284266,14.184760723811909,12.906151961395615,15.675212992518915
Primary_M2,Primary M2: pooled,2022-02,2,q = 2: Inverse Simpson,7.234914462032385,0.33433912233360896,7.222409766728314,6.596645349979569,7.913839138992927
Primary_M2,Primary M2: pooled,2022-08,0,q = 0: Richness,29.334,2.4691173606251566,29,24,34
Primary_M2,Primary M2: pooled,2022-08,1,q = 1: Exponential Shannon,14.469426834551971,0.9946876244254689,14.447366745746882,12.467528186208218,16.38991828539502
